"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"155","Andy Roddick",193,8,2,0.64,0.64,83
"156","Andy Roddick",118,5,4,0.64,0.63,124
"157","Andy Roddick",90,12,3,0.64,0.6,110
"158","Andy Roddick",128,9,3,0.76,0.59,131
"159","Andy Roddick",61,5,2,0.64,0.67,86
"160","Andy Roddick",354,11,0,0.64,0.6,54
"161","Andy Roddick",77,9,1,0.64,0.75,64
"162","Andy Roddick",57,1,0,0.64,0.54,49
"163","Andy Roddick",36,3,1,0.64,0.63,64
"164","Andy Roddick",31,6,0,0.76,0.54,58
"165","Andy Roddick",7,14,3,0.76,0.55,96
"166","Andy Roddick",4,12,1,0.76,0.63,113
"167","Andy Roddick",109,16,3,0.76,0.6,60
"168","Andy Roddick",158,9,0,0.76,0.77,51
"169","Andy Roddick",77,27,1,0.76,0.72,66
"170","Andy Roddick",139,11,2,0.76,0.7,72
"171","Andy Roddick",21,16,1,0.76,0.71,96
"172","Andy Roddick",33,22,1,0.76,0.65,138
"173","Andy Roddick",18,11,2,0.76,0.61,80
"174","Andy Roddick",15,12,1,0.76,0.66,54
"175","Andy Roddick",67,11,3,0.76,0.62,67
"176","Andy Roddick",76,4,3,0.76,0.6,76
"177","Andy Roddick",30,13,0,0.76,0.78,67
"178","Andy Roddick",17,8,1,0.76,0.58,62
"179","Andy Roddick",109,6,2,0.76,0.7,61
"180","Andy Roddick",25,8,4,0.76,0.6,82
"181","Andy Roddick",44,9,1,0.76,0.66,67
"182","Andy Roddick",179,11,3,0.76,0.69,65
"183","Andy Roddick",97,12,3,0.76,0.64,112
"184","Andy Roddick",48,21,4,0.76,0.64,51
"185","Andy Roddick",9,18,5,0.76,0.58,126
"186","Andy Roddick",173,23,5,0.76,0.51,123
"187","Andy Roddick",36,7,1,0.76,0.69,72
"188","Andy Roddick",20,14,5,0.76,0.57,52
"189","Andy Roddick",29,11,0,0.76,0.6,141
"190","Andy Roddick",30,10,2,0.76,0.52,59
"191","Andy Roddick",1441,11,0,0.76,0.78,70
"192","Andy Roddick",49,10,3,0.76,0.61,96
"193","Andy Roddick",31,21,0,0.76,0.71,96
"194","Andy Roddick",19,11,3,0.76,0.66,92
"195","Andy Roddick",63,14,1,0.64,0.63,120
"196","Andy Roddick",99,4,1,0.64,0.62,66
"197","Andy Roddick",142,5,1,0.64,0.67,58
"198","Andy Roddick",59,10,0,0.64,0.71,92
"199","Andy Roddick",60,10,2,0.64,0.67,63
"200","Andy Roddick",35,20,4,0.76,0.57,124
"201","Andy Roddick",205,20,2,0.76,0.65,73
"202","Andy Roddick",28,4,1,0.76,0.61,71
"203","Andy Roddick",17,14,1,0.76,0.64,79
"204","Andy Roddick",82,21,2,0.76,0.6,94
"205","Andy Roddick",32,9,1,0.76,0.66,85
"206","Andy Roddick",77,16,1,0.76,0.51,70
"207","Andy Roddick",76,14,1,0.76,0.71,63
"208","Andy Roddick",28,9,1,0.76,0.72,105
"209","Andy Roddick",97,12,2,0.76,0.74,62
"210","Andy Roddick",6,12,5,0.76,0.6,112
"211","Andy Roddick",36,4,0,0.76,0.68,65
"212","Andy Roddick",4,12,2,0.76,0.61,122
"213","Andy Roddick",60,17,7,0.76,0.67,140
"214","Andy Roddick",160,15,1,0.76,0.74,66
"215","Andy Roddick",78,7,0,0.71,0.72,52
"216","Andy Roddick",89,10,1,0.76,0.59,146
"217","Andy Roddick",116,11,2,0.76,0.72,67
"218","Andy Roddick",59,13,1,0.76,0.74,109
"219","Andy Roddick",181,18,5,0.8,0.64,108
"220","Andy Roddick",128,13,3,0.8,0.59,108
"221","Andy Roddick",31,16,1,0.8,0.68,110
"222","Andy Roddick",90,11,0,0.8,0.7,116
"223","Andy Roddick",23,20,6,0.8,0.62,129
"224","Andy Roddick",63,11,8,0.8,0.54,171
"225","Andy Roddick",64,13,5,0.8,0.57,78
"226","Andy Roddick",68,8,1,0.8,0.62,102
"227","Andy Roddick",14,6,1,0.8,0.54,66
"228","Andy Roddick",11,15,1,0.8,0.6,75
"229","Andy Roddick",13,11,3,0.8,0.52,83
"230","Andy Roddick",7,6,1,0.76,0.57,104
"231","Andy Roddick",4,15,2,0.76,0.62,110
"232","Andy Roddick",6,15,2,0.76,0.63,86
"233","Andy Roddick",44,4,0,0.64,0.49,81
"234","Andy Roddick",50,8,0,0.64,0.6,95
"235","Andy Roddick",119,17,3,0.76,0.67,160
"236","Andy Roddick",144,9,3,0.76,0.66,69
"237","Andy Roddick",130,8,1,0.76,0.74,68
"238","Andy Roddick",47,9,2,0.76,0.7,128
"239","Andy Roddick",75,19,3,0.76,0.73,119
"240","Andy Roddick",42,13,0,0.76,0.73,82
"241","Andy Roddick",101,18,0,0.76,0.69,79
"242","Andy Roddick",133,3,2,0.64,0.7,103
"243","Andy Roddick",75,11,0,0.76,0.66,92
"244","Andy Roddick",48,11,2,0.76,0.72,93
"245","Andy Roddick",34,22,0,0.76,0.68,95
"246","Andy Roddick",102,15,2,0.76,0.69,87
"247","Andy Roddick",26,17,2,0.76,0.66,95
"248","Andy Roddick",34,7,2,0.71,0.67,139
"249","Andy Roddick",20,16,0,0.71,0.84,50
"250","Andy Roddick",17,21,3,0.71,0.6,132
"251","Andy Roddick",161,8,2,0.76,0.52,71
"252","Andy Roddick",58,17,5,0.76,0.56,96
"253","Andy Roddick",75,22,7,0.76,0.52,142
"254","Andy Roddick",17,14,0,0.76,0.71,81
"255","Andy Roddick",55,9,1,0.76,0.72,50
"256","Andy Roddick",41,4,2,0.76,0.54,77
"257","Andy Roddick",24,15,3,0.76,0.64,129
"258","Andy Roddick",56,14,3,0.76,0.56,87
"259","Andy Roddick",26,14,6,0.76,0.69,88
"260","Andy Roddick",3,24,4,0.76,0.61,97
"261","Andy Roddick",189,10,2,0.8,0.59,58
"262","Andy Roddick",44,13,2,0.8,0.69,105
"263","Andy Roddick",21,6,3,0.8,0.7,85
"264","Andy Roddick",16,11,1,0.8,0.73,89
"265","Andy Roddick",77,10,1,0.8,0.78,81
"266","Andy Roddick",100,13,6,0.8,0.57,83
"267","Andy Roddick",120,23,4,0.8,0.7,174
"268","Andy Roddick",42,15,1,0.8,0.77,114
"269","Andy Roddick",18,13,3,0.8,0.63,112
"270","Andy Roddick",27,14,0,0.8,0.67,170
"271","Andy Roddick",22,19,0,0.8,0.75,179
"272","Andy Roddick",58,11,0,0.76,0.62,58
"273","Andy Roddick",113,13,1,0.76,0.64,75
"274","Andy Roddick",77,22,1,0.76,0.71,99
"275","Andy Roddick",45,16,3,0.76,0.56,121
"276","Andy Roddick",27,9,3,0.76,0.55,46
"277","Andy Roddick",17,10,0,0.76,0.75,66
"278","Andy Roddick",7,13,0,0.76,0.65,113
"279","Andy Roddick",246,11,0,0.64,0.61,58
"280","Andy Roddick",73,9,0,0.64,0.62,79
"281","Andy Roddick",51,14,1,0.64,0.7,57
"282","Andy Roddick",40,7,3,0.64,0.7,65
"283","Andy Roddick",30,4,0,0.64,0.64,71
"284","Andy Roddick",94,12,1,0.71,0.69,69
"285","Andy Roddick",154,13,0,0.71,0.67,90
"286","Andy Roddick",21,13,0,0.71,0.73,64
"287","Andy Roddick",78,23,0,0.71,0.71,99
"288","Andy Roddick",36,9,0,0.71,0.74,60
"289","Andy Roddick",31,35,8,0.64,0.64,272
"290","Andy Roddick",60,10,0,0.76,0.67,56
"291","Andy Roddick",32,8,1,0.76,0.76,69
"292","Andy Roddick",130,9,0,0.76,0.68,94
"293","Andy Roddick",341,12,1,0.76,0.69,135
"294","Andy Roddick",91,20,2,0.76,0.75,133
"295","Andy Roddick",36,8,1,0.76,0.59,76
"296","Andy Roddick",34,4,2,0.76,0.67,73
"297","Andy Roddick",101,28,2,0.8,0.65,173
"298","Andy Roddick",63,12,0,0.8,0.7,69
"299","Andy Roddick",104,3,0,0.64,0.65,59
"300","Andy Roddick",111,5,1,0.64,0.7,80
"301","Andy Roddick",30,9,3,0.76,0.69,88
"302","Andy Roddick",25,19,2,0.76,0.78,63
"303","Andy Roddick",28,8,0,0.76,0.71,100
"304","Andy Roddick",39,11,0,0.76,0.6,73
"305","Andy Roddick",220,7,2,0.76,0.58,104
"306","Andy Roddick",60,11,1,0.76,0.62,108
"307","Andy Roddick",162,17,1,0.76,0.6,82
"308","Andy Roddick",136,9,0,0.76,0.7,67
"309","Andy Roddick",390,21,2,0.76,0.71,101
"310","Andy Roddick",63,22,3,0.76,0.65,154
"311","Andy Roddick",39,8,1,0.76,0.73,77
"312","Andy Roddick",35,10,1,0.76,0.67,73
"313","Andy Roddick",21,16,2,0.76,0.67,95
"314","Andy Roddick",13,12,0,0.76,0.63,66
"315","Andy Roddick",31,17,2,0.76,0.69,70
"316","Andy Roddick",89,6,2,0.76,0.48,79
"317","Andy Roddick",69,9,1,0.76,0.63,95
"318","Andy Roddick",84,8,3,0.76,0.72,64
"319","Andy Roddick",103,8,0,0.76,0.61,67
"320","Andy Roddick",183,9,1,0.76,0.7,98
"321","Andy Roddick",76,6,0,0.76,0.79,63
"322","Andy Roddick",17,8,0,0.76,0.71,67
"323","Andy Roddick",44,9,1,0.76,0.71,79
"324","Andy Roddick",116,21,1,0.76,0.77,90
"325","Andy Roddick",26,14,2,0.76,0.69,199
"326","Andy Roddick",112,20,0,0.76,0.76,95
"327","Andy Roddick",17,17,2,0.76,0.73,112
"328","Andy Roddick",54,14,1,0.76,0.7,164
