tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-402,Memphis,Hard,48,A,20010219,28,103163,3,,Tommy Haas,R,188,GER,22.88295688,21,1210,104053,0,WC,Andy Roddick,R,188,USA,18.47501711,124,310,6-7(5) 6-0 6-4,3,R32,115,15,4,86,51,39,24,14,0,0,15,4,111,72,44,19,14,8,12
2001-403,Miami Masters,Hard,96,M,20010319,23,104053,0,WC,Andy Roddick,R,188,USA,18.55167693,119,340,103248,0,,Harel Levy,R,185,ISR,22.6201232,51,757,6-3 6-2,3,R128,52,4,1,48,22,20,18,9,0,0,2,3,43,22,14,12,8,4,7
2001-403,Miami Masters,Hard,96,M,20010319,55,104053,0,WC,Andy Roddick,R,188,USA,18.55167693,119,340,102701,26,,Marcelo Rios,L,175,CHI,25.229295,26,1135,6-4 6-1,3,R64,52,6,1,45,25,21,13,9,1,2,3,5,50,24,16,8,8,3,7
2001-403,Miami Masters,Hard,96,M,20010319,76,104053,0,WC,Andy Roddick,R,188,USA,18.55167693,119,340,101948,4,,Pete Sampras,R,185,USA,29.60164271,4,3305,7-6(2) 6-3,3,R32,78,7,4,60,43,37,10,11,0,1,9,5,72,46,32,11,10,1,3
2001-403,Miami Masters,Hard,96,M,20010319,86,104053,0,WC,Andy Roddick,R,188,USA,18.55167693,119,340,102318,21,,Andrei Pavel,R,183,ROU,27.14031485,21,1220,7-6(10) 6-2,3,R16,91,9,5,76,37,27,19,10,6,9,2,4,72,46,27,10,10,0,5
2001-403,Miami Masters,Hard,96,M,20010319,91,103720,7,,Lleyton Hewitt,R,180,AUS,20.06297057,7,2575,104053,0,WC,Andy Roddick,R,188,USA,18.55167693,119,340,6-3 6-2,3,QF,72,5,3,51,27,25,11,9,4,5,5,4,46,21,17,8,8,3,7
2001-560,US Open,Hard,128,G,20010827,28,104053,18,,Andy Roddick,R,188,USA,18.99247091,18,1342,101792,0,,Slava Dosedel,R,183,CZE,31.03627652,121,330,6-4 6-1 6-2,5,R128,106,17,1,68,40,32,22,12,1,1,2,3,100,49,32,21,13,13,18
2001-560,US Open,Hard,128,G,20010827,78,104053,18,,Andy Roddick,R,188,USA,18.99247091,18,1342,102855,0,Q,Jack Brasington,R,188,USA,24.96372348,223,163,6-2 6-1 5-7 7-6(4),5,R64,123,14,6,107,65,52,25,19,5,7,8,13,126,81,57,14,20,5,11
2001-560,US Open,Hard,128,G,20010827,103,104053,18,,Andy Roddick,R,188,USA,18.99247091,18,1342,102374,11,,Alex Corretja,R,180,ESP,27.37850787,11,1895,6-4 6-2 6-2,5,R32,104,16,4,77,48,36,18,13,3,4,6,6,81,37,27,16,13,3,9
2001-560,US Open,Hard,128,G,20010827,116,104053,18,,Andy Roddick,R,188,USA,18.99247091,18,1342,103990,0,,Tommy Robredo,R,180,ESP,19.32375086,39,932,6-2 6-2 6-4,5,R16,90,6,4,73,38,33,21,13,2,2,8,3,85,50,31,16,13,5,10
